index,file,spikeNumber,numError,errors,dVthreshold,medianFilter,halfHeights,thresholdPnt,thresholdVal,thresholdVal_dvdt,thresholdSec,peakPnt,peakVal,peakSec,peakHeight,preMinPnt,preMinVal,postMinPnt,postMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,cycleLength_pnts,cycleLength_ms,apDuration_ms,diastolicDuration_ms,widths
88,/Volumes/t3/laura data 2/19503001.abf,88,0,[],50,5,"[10, 50, 90]",4394982,-43.792724609375,18.310546875,219.7491,4395019,39.520263671875,219.75095000000002,83.31298828125,4369711.0,-68.03131103515625,4399960.0,-66.36199951171875,4372238.0,4382346.0,505.4,-66.5283203125,-66.5283203125,-0.2583367995005412,,4394996.0,-13.275146484375,106.8115234375,4395045.0,33.416748046875,-15.2587890625,54603.0,2730.15,51657.0,2582.85,248.9,1263.55,"[{'halfHeight': 10, 'risingPnt': 4394880, 'risingVal': -55.694580078125, 'fallingPnt': 4396472, 'fallingVal': -55.84716796875, 'widthPnts': 1592, 'widthMs': 79.6}, {'halfHeight': 50, 'risingPnt': 4394996, 'risingVal': -13.275146484375, 'fallingPnt': 4395267, 'fallingVal': -13.427734375, 'widthPnts': 271, 'widthMs': 13.55}, {'halfHeight': 90, 'risingPnt': 4395007, 'risingVal': 29.449462890625, 'fallingPnt': 4395063, 'fallingVal': 28.839111328125, 'widthPnts': 56, 'widthMs': 2.8}]"
89,/Volumes/t3/laura data 2/19503001.abf,89,0,[],50,5,"[10, 50, 90]",4407075,-45.47119140625,9.1552734375,220.35375,4407115,38.909912109375,220.35575,84.381103515625,4405407.0,-66.36199951171875,4411335.0,-67.138671875,4405573.0,4406241.0,33.4,-66.070556640625,-63.934326171875,50.9001284705764,,4407095.0,-2.288818359375,106.8115234375,4407152.0,30.975341796875,-15.2587890625,12093.0,604.65,11375.0,568.75,213.0,83.4,"[{'halfHeight': 10, 'risingPnt': 4406920, 'risingVal': -56.45751953125, 'fallingPnt': 4408372, 'fallingVal': -56.610107421875, 'widthPnts': 1452, 'widthMs': 72.6}, {'halfHeight': 50, 'risingPnt': 4407093, 'risingVal': -12.359619140625, 'fallingPnt': 4407380, 'fallingVal': -14.190673828125, 'widthPnts': 287, 'widthMs': 14.35}, {'halfHeight': 90, 'risingPnt': 4407104, 'risingVal': 29.296875, 'fallingPnt': 4407163, 'fallingVal': 28.228759765625, 'widthPnts': 59, 'widthMs': 2.95}]"
90,/Volumes/t3/laura data 2/19503001.abf,90,0,[],50,5,"[10, 50, 90]",4435347,-43.792724609375,12.20703125,221.76735,4435383,39.36767578125,221.76915,83.160400390625,4432629.0,-67.138671875,4439475.0,-66.680908203125,4432900.0,4433988.0,54.4,-66.680908203125,-66.070556640625,6.7480519375165295,,4435361.0,-9.918212890625,106.8115234375,4435452.0,21.3623046875,-18.310546875,28272.0,1413.6,28140.0,1407.0,206.4,135.9,"[{'halfHeight': 10, 'risingPnt': 4435235, 'risingVal': -55.999755859375, 'fallingPnt': 4436736, 'fallingVal': -56.15234375, 'widthPnts': 1501, 'widthMs': 75.05}, {'halfHeight': 50, 'risingPnt': 4435361, 'risingVal': -9.918212890625, 'fallingPnt': 4435629, 'fallingVal': -13.885498046875, 'widthPnts': 268, 'widthMs': 13.4}, {'halfHeight': 90, 'risingPnt': 4435371, 'risingVal': 28.99169921875, 'fallingPnt': 4435427, 'fallingVal': 28.6865234375, 'widthPnts': 56, 'widthMs': 2.8}]"
91,/Volumes/t3/laura data 2/19503001.abf,91,0,[],50,5,"[10, 50, 90]",4446196,-44.5556640625,6.103515625,222.3098,4446233,38.604736328125,222.31165,83.160400390625,4443604.0,-66.680908203125,4454279.0,-67.12493896484375,4443863.0,4444900.0,51.85,-66.375732421875,-65.3076171875,21.42105355168704,,4446212.0,-8.392333984375,103.759765625,4446295.0,24.10888671875,-15.2587890625,10849.0,542.45,14804.0,740.2,404.15,129.6,"[{'halfHeight': 10, 'risingPnt': 4446037, 'risingVal': -56.45751953125, 'fallingPnt': 4447321, 'fallingVal': -56.610107421875, 'widthPnts': 1284, 'widthMs': 64.2}, {'halfHeight': 50, 'risingPnt': 4446211, 'risingVal': -13.580322265625, 'fallingPnt': 4446491, 'fallingVal': -14.34326171875, 'widthPnts': 280, 'widthMs': 14.0}, {'halfHeight': 90, 'risingPnt': 4446222, 'risingVal': 28.839111328125, 'fallingPnt': 4446280, 'fallingVal': 27.923583984375, 'widthPnts': 58, 'widthMs': 2.9}]"
92,/Volumes/t3/laura data 2/19503001.abf,92,0,[],50,5,"[10, 50, 90]",4481585,-44.25048828125,15.2587890625,224.07925,4481622,39.0625,224.0811,83.31298828125,4469867.0,-67.12493896484375,4486238.0,-67.00592041015625,4471038.0,4475726.0,234.4,-66.375732421875,-66.375732421875,0.019458129175678827,,4481602.0,-0.6103515625,106.8115234375,4481703.0,17.547607421875,-15.2587890625,35389.0,1769.45,31959.0,1597.95,232.65,585.9,"[{'halfHeight': 10, 'risingPnt': 4481470, 'risingVal': -56.304931640625, 'fallingPnt': 4482805, 'fallingVal': -56.45751953125, 'widthPnts': 1335, 'widthMs': 66.75}, {'halfHeight': 50, 'risingPnt': 4481600, 'risingVal': -10.833740234375, 'fallingPnt': 4481859, 'fallingVal': -14.0380859375, 'widthPnts': 259, 'widthMs': 12.95}, {'halfHeight': 90, 'risingPnt': 4481610, 'risingVal': 28.533935546875, 'fallingPnt': 4481667, 'fallingVal': 28.076171875, 'widthPnts': 57, 'widthMs': 2.85}]"
93,/Volumes/t3/laura data 2/19503001.abf,93,0,[],50,5,"[10, 50, 90]",4506328,-42.724609375,18.310546875,225.3164,4506363,39.36767578125,225.31815,82.09228515625,4499908.0,-67.00592041015625,4509719.0,-66.729736328125,4500550.0,4503118.0,128.4,-66.680908203125,-66.375732421875,2.000677159345805,,4506341.0,-7.781982421875,106.8115234375,4506403.0,28.99169921875,-15.2587890625,24743.0,1237.15,23481.0,1174.05,169.55,321.0,"[{'halfHeight': 10, 'risingPnt': 4506219, 'risingVal': -55.999755859375, 'fallingPnt': 4507664, 'fallingVal': -56.15234375, 'widthPnts': 1445, 'widthMs': 72.25}, {'halfHeight': 50, 'risingPnt': 4506340, 'risingVal': -13.12255859375, 'fallingPnt': 4506601, 'fallingVal': -13.73291015625, 'widthPnts': 261, 'widthMs': 13.05}, {'halfHeight': 90, 'risingPnt': 4506351, 'risingVal': 30.364990234375, 'fallingPnt': 4506405, 'fallingVal': 28.533935546875, 'widthPnts': 54, 'widthMs': 2.7}]"
94,/Volumes/t3/laura data 2/19503001.abf,94,0,[],50,5,"[10, 50, 90]",4531316,-46.234130859375,9.1552734375,226.5658,4531358,38.909912109375,226.56789999999998,85.14404296875,4526596.0,-66.729736328125,4533882.0,-66.3848876953125,4527068.0,4528956.0,94.4,-66.375732421875,-66.070556640625,3.8565387598162517,,4531337.0,-4.8828125,112.9150390625,4531551.0,-5.645751953125,-15.2587890625,24988.0,1249.4,24163.0,1208.15,128.3,236.0,"[{'halfHeight': 10, 'risingPnt': 4531208, 'risingVal': -55.84716796875, 'fallingPnt': 4532616, 'fallingVal': -55.999755859375, 'widthPnts': 1408, 'widthMs': 70.4}, {'halfHeight': 50, 'risingPnt': 4531336, 'risingVal': -10.528564453125, 'fallingPnt': 4531608, 'fallingVal': -13.885498046875, 'widthPnts': 272, 'widthMs': 13.6}, {'halfHeight': 90, 'risingPnt': 4531346, 'risingVal': 28.533935546875, 'fallingPnt': 4531402, 'fallingVal': 28.228759765625, 'widthPnts': 56, 'widthMs': 2.8}]"
95,/Volumes/t3/laura data 2/19503001.abf,95,0,[],50,5,"[10, 50, 90]",4546655,-43.9453125,9.1552734375,227.33275,4546692,39.215087890625,227.3346,83.160400390625,4545119.0,-66.3848876953125,4549514.0,-66.1651611328125,4545272.0,4545887.0,30.75,-66.375732421875,-64.0869140625,55.02332570101394,,4546671.0,-2.288818359375,106.8115234375,4546777.0,16.326904296875,-15.2587890625,15339.0,766.95,15632.0,781.6,142.95,76.8,"[{'halfHeight': 10, 'risingPnt': 4546552, 'risingVal': -55.389404296875, 'fallingPnt': 4547968, 'fallingVal': -55.694580078125, 'widthPnts': 1416, 'widthMs': 70.8}, {'halfHeight': 50, 'risingPnt': 4546669, 'risingVal': -12.664794921875, 'fallingPnt': 4546931, 'fallingVal': -13.73291015625, 'widthPnts': 262, 'widthMs': 13.1}, {'halfHeight': 90, 'risingPnt': 4546680, 'risingVal': 29.60205078125, 'fallingPnt': 4546734, 'fallingVal': 28.533935546875, 'widthPnts': 54, 'widthMs': 2.7}]"
96,/Volumes/t3/laura data 2/19503001.abf,96,0,[],50,5,"[10, 50, 90]",4579800,-44.708251953125,18.310546875,228.99,4579838,38.909912109375,228.9919,83.6181640625,4576230.0,-66.1651611328125,4583206.0,-65.936279296875,4576587.0,4578015.0,71.4,-65.91796875,-65.460205078125,1.2496834153897165,,4579818.0,-3.662109375,109.86328125,4579926.0,15.56396484375,-15.2587890625,33145.0,1657.25,33692.0,1684.6,170.3,178.5,"[{'halfHeight': 10, 'risingPnt': 4579702, 'risingVal': -55.23681640625, 'fallingPnt': 4581209, 'fallingVal': -55.5419921875, 'widthPnts': 1507, 'widthMs': 75.35}, {'halfHeight': 50, 'risingPnt': 4579817, 'risingVal': -9.1552734375, 'fallingPnt': 4580078, 'fallingVal': -13.580322265625, 'widthPnts': 261, 'widthMs': 13.05}, {'halfHeight': 90, 'risingPnt': 4579827, 'risingVal': 28.99169921875, 'fallingPnt': 4579880, 'fallingVal': 28.38134765625, 'widthPnts': 53, 'widthMs': 2.65}]"
97,/Volumes/t3/laura data 2/19503001.abf,97,0,[],50,5,"[10, 50, 90]",4604646,-45.7763671875,9.1552734375,230.23229999999998,4604687,38.909912109375,230.23435,84.686279296875,4602610.0,-65.936279296875,4607747.0,-66.1895751953125,4602813.0,4603628.0,40.75,-65.61279296875,-64.697265625,25.098190598570582,,4604667.0,-1.52587890625,106.8115234375,4604753.0,21.97265625,-15.2587890625,24846.0,1242.3,24541.0,1227.05,155.05,101.8,"[{'halfHeight': 10, 'risingPnt': 4604537, 'risingVal': -55.5419921875, 'fallingPnt': 4606035, 'fallingVal': -55.694580078125, 'widthPnts': 1498, 'widthMs': 74.9}, {'halfHeight': 50, 'risingPnt': 4604665, 'risingVal': -12.054443359375, 'fallingPnt': 4604941, 'fallingVal': -13.73291015625, 'widthPnts': 276, 'widthMs': 13.8}, {'halfHeight': 90, 'risingPnt': 4604676, 'risingVal': 30.21240234375, 'fallingPnt': 4604730, 'fallingVal': 28.38134765625, 'widthPnts': 54, 'widthMs': 2.7}]"
