Idx,Include,File,Dur(s),kHz,Mode,Cell Type,Sex,Condition,Start(s),Stop(s),dvdtThreshold,mvThreshold,refractory_ms,peakWindow_ms,halfWidthWindow_ms,Notes
1.0,1.0,19221014.abf,5.0,20.0,fix,,,,,,20.0,-20.0,,,,
2.0,1.0,19114001.abf,60.0,20.0,fix,,,,,,50.0,-20.0,,,,
3.0,1.0,19114000.abf,60.0,20.0,fix,,,,,,20.0,-20.0,,,,
4.0,1.0,19114001.csv,60.0,20.0,fix,,,,,,20.0,-20.0,,,,
5.0,1.0,SAN-AP-example-Rs-change.abf,300.0,10.0,fix,,,,,,20.0,-20.0,,,,
6.0,1.0,19612002.abf,269.2,20.0,fix,,,,,,20.0,-20.0,,,,
7.0,1.0,171116sh_0018.abf,3.0,20.0,fix,,,,,,20.0,-20.0,,,,
