filename,sweep,peakPhase
2021_12_06_0005.abf,0,0.1374
2021_12_06_0005.abf,0,0.3149
2021_12_06_0005.abf,0,0.1669
2021_12_06_0005.abf,0,0.265700000000001
2021_12_06_0005.abf,0,0.169499999999999
2021_12_06_0005.abf,0,0.194100000000001
2021_12_06_0005.abf,0,0.1614
2021_12_06_0005.abf,0,0.3466
2021_12_06_0005.abf,0,0.184899999999999
2021_12_06_0005.abf,0,0.335999999999998
2021_12_06_0005.abf,0,0.138900000000003
2021_12_06_0005.abf,0,0.401700000000002
2021_12_06_0005.abf,0,0.4023
2021_12_06_0005.abf,0,0.1435
2021_12_06_0005.abf,0,0.158000000000001
2021_12_06_0005.abf,0,0.997299999999999
2021_12_06_0005.abf,1,0.163699999999999
2021_12_06_0005.abf,1,0.2158
2021_12_06_0005.abf,1,0.0299
2021_12_06_0005.abf,1,0.2188
2021_12_06_0005.abf,1,0.119899999999999
2021_12_06_0005.abf,1,0.289899999999999
2021_12_06_0005.abf,1,0.106399999999999
2021_12_06_0005.abf,1,0.142899999999999
2021_12_06_0005.abf,1,0.068200000000001
2021_12_06_0005.abf,1,0.187299999999999
2021_12_06_0005.abf,1,0.131
2021_12_06_0005.abf,1,0.021099999999997
2021_12_06_0005.abf,1,0.122499999999999
2021_12_06_0005.abf,1,0.195
2021_12_06_0005.abf,1,0.114599999999999
2021_12_06_0005.abf,1,0.1127
2021_12_06_0005.abf,2,0.148800000000001
2021_12_06_0005.abf,2,0.1853
2021_12_06_0005.abf,2,0.0955
2021_12_06_0005.abf,2,0.365600000000001
2021_12_06_0005.abf,2,0.188000000000001
2021_12_06_0005.abf,2,0.2059
2021_12_06_0005.abf,2,0.3017
2021_12_06_0005.abf,2,0.3141
2021_12_06_0005.abf,2,0.288500000000001
2021_12_06_0005.abf,2,0.381499999999999
2021_12_06_0005.abf,2,0.2087
2021_12_06_0005.abf,2,0.293400000000002
2021_12_06_0005.abf,2,0.245799999999999
2021_12_06_0005.abf,2,0.138999999999999
2021_12_06_0005.abf,2,0.242599999999999
2021_12_06_0005.abf,2,0.1129
2021_12_06_0005.abf,3,0.0872
2021_12_06_0005.abf,3,0.1252
2021_12_06_0005.abf,3,0.1411
2021_12_06_0005.abf,3,0.044700000000001
2021_12_06_0005.abf,3,0.332000000000001
2021_12_06_0005.abf,3,0.9596
2021_12_06_0005.abf,3,0.129899999999999
2021_12_06_0005.abf,3,0.6806
2021_12_06_0005.abf,3,0.072500000000002
2021_12_06_0005.abf,3,0.332699999999999
2021_12_09_0011.abf,0,0.0172
2021_12_09_0011.abf,0,0.3011
2021_12_09_0011.abf,0,0.5804
2021_12_09_0011.abf,0,0.8454
2021_12_09_0011.abf,0,0.125
2021_12_09_0011.abf,0,0.3998
2021_12_09_0011.abf,0,0.6707
2021_12_09_0011.abf,0,0.974600000000001
2021_12_09_0011.abf,0,0.267
2021_12_09_0011.abf,0,0.5587
2021_12_09_0011.abf,0,0.845
2021_12_09_0011.abf,0,0.1242
2021_12_09_0011.abf,0,0.387600000000001
2021_12_09_0011.abf,0,0.698499999999999
2021_12_09_0011.abf,0,0.998299999999999
2021_12_09_0011.abf,0,0.2941
2021_12_09_0011.abf,0,0.5876
2021_12_09_0011.abf,0,0.8629
2021_12_09_0011.abf,0,0.1699
2021_12_09_0011.abf,0,0.451700000000001
2021_12_09_0011.abf,0,0.7567
2021_12_09_0011.abf,0,0.068400000000001
2021_12_09_0011.abf,0,0.363799999999999
2021_12_09_0011.abf,0,0.6961
2021_12_09_0011.abf,0,0.038
2021_12_09_0011.abf,0,0.3508
2021_12_09_0011.abf,0,0.679399999999999
2021_12_09_0011.abf,0,0.9628
2021_12_09_0011.abf,0,0.2523
2021_12_09_0011.abf,0,0.555200000000001
2021_12_09_0011.abf,0,0.924100000000001
2021_12_09_0011.abf,0,0.212399999999999
2021_12_09_0011.abf,0,0.5236
2021_12_09_0011.abf,0,0.8634
2021_12_09_0011.abf,0,0.193299999999999
2021_12_09_0011.abf,0,0.5116
2021_12_09_0011.abf,0,0.8201
2021_12_09_0011.abf,0,0.145299999999999
2021_12_09_0011.abf,0,0.446099999999998
2021_12_09_0011.abf,0,0.7636
2021_12_09_0011.abf,0,0.052499999999999
2021_12_09_0011.abf,0,0.3447
2021_12_09_0011.abf,0,0.6995
2021_12_09_0011.abf,0,0.018099999999997
2021_12_09_0011.abf,0,0.315099999999997
2021_12_09_0011.abf,0,0.631700000000002
2021_12_09_0011.abf,0,0.956499999999998
2021_12_09_0011.abf,0,0.2347
2021_12_09_0011.abf,0,0.546799999999998
2021_12_09_0011.abf,0,0.863599999999998
2021_12_09_0011.abf,0,0.156500000000001
2021_12_09_0011.abf,0,0.452200000000001
2021_12_09_0011.abf,0,0.739599999999999
2021_12_09_0011.abf,0,0.0458
2021_12_09_0011.abf,0,0.351599999999998
